sequencia;objeto;tipo_obj;fundo;iluminacao;transformacao;responsavel;arquivo
2;chave;a;branco;indoor dia;bbox manual;Ciro;1100.jpg
3;chave;a;branco;indoor dia;bbox manual;Ciro;1101.jpg
3;livro;a;branco;indoor dia;bbox manual;Ciro;1107.jpg
1;caderno;a;branco;indoor dia;bbox manual;Ciro;1108.jpg
2;caderno;a;branco;indoor dia;bbox manual;Ciro;1109.jpg
3;caderno;a;branco;indoor dia;bbox manual;Ciro;1110.jpg
2;alicate;b;branco;indoor dia;bbox manual;Ciro;1127.jpg
3;alicate;b;branco;indoor dia;bbox manual;Ciro;1128.jpg
1;chave;b;branco;indoor dia;bbox manual;Ciro;1129.jpg
2;chave;b;branco;indoor dia;bbox manual;Ciro;1130.jpg
1;caneta;b;branco;indoor dia;bbox manual;Ciro;1132.jpg
2;caderno;b;branco;indoor dia;bbox manual;Ciro;1139.jpg
3;caderno;b;branco;indoor dia;bbox manual;Ciro;1140.jpg
2;alicate;c;branco;indoor dia;bbox manual;Ciro;1157.jpg
1;chave;c;branco;indoor dia;bbox manual;Ciro;1159.jpg
3;chave;c;branco;indoor dia;bbox manual;Ciro;1161.jpg
1;caneta;c;branco;indoor dia;bbox manual;Ciro;1162.jpg
1;livro;c;branco;indoor dia;bbox manual;Ciro;1165.jpg
2;livro;c;branco;indoor dia;bbox manual;Ciro;1166.jpg
1;caderno;c;branco;indoor dia;bbox manual;Ciro;1168.jpg
