sequencia;objeto;tipo_obj;fundo;iluminacao;transformacao;responsavel;arquivo
2;copo;a;branco;indoor_dia;cinza;Josilton;21.jpg
3;copo;a;branco;indoor_dia;cinza;Josilton;22.jpg
1;caneca;a;branco;indoor_dia;cinza;Josilton;23.jpg
2;caneca;a;branco;indoor_dia;cinza;Josilton;24.jpg
3;caneca;a;branco;indoor_dia;cinza;Josilton;25.jpg
1;alicate;a;branco;indoor_dia;cinza;Ciro;26.jpg
2;alicate;a;branco;indoor_dia;cinza;Ciro;27.jpg
3;alicate;a;branco;indoor_dia;cinza;Ciro;28.jpg
1;chave;a;branco;indoor_dia;cinza;Ciro;29.jpg
2;chave;a;branco;indoor_dia;cinza;Ciro;30.jpg
2;copo;a;branco;indoor_dia;grad;Josilton;31.jpg
2;copo;a;branco;indoor_dia;log;Josilton;32.jpg
2;copo;a;branco;indoor_dia;exp;Josilton;33.jpg
2;copo;a;branco;indoor_dia;conv;Josilton;34.jpg
3;copo;a;branco;indoor_dia;grad;Josilton;35.jpg
3;copo;a;branco;indoor_dia;log;Josilton;36.jpg
3;copo;a;branco;indoor_dia;exp;Josilton;37.jpg
3;copo;a;branco;indoor_dia;conv;Josilton;38.jpg
1;caneca;a;branco;indoor_dia;grad;Josilton;39.jpg
1;caneca;a;branco;indoor_dia;log;Josilton;40.jpg
1;caneca;a;branco;indoor_dia;exp;Josilton;41.jpg
1;caneca;a;branco;indoor_dia;conv;Josilton;42.jpg
2;caneca;a;branco;indoor_dia;grad;Josilton;43.jpg
2;caneca;a;branco;indoor_dia;log;Josilton;44.jpg
2;caneca;a;branco;indoor_dia;exp;Josilton;45.jpg
2;caneca;a;branco;indoor_dia;conv;Josilton;46.jpg
3;caneca;a;branco;indoor_dia;grad;Josilton;47.jpg
3;caneca;a;branco;indoor_dia;log;Josilton;48.jpg
3;caneca;a;branco;indoor_dia;exp;Josilton;49.jpg
3;caneca;a;branco;indoor_dia;conv;Josilton;50.jpg
1;alicate;a;branco;indoor_dia;grad;Ciro;51.jpg
1;alicate;a;branco;indoor_dia;log;Ciro;52.jpg
1;alicate;a;branco;indoor_dia;exp;Ciro;53.jpg
1;alicate;a;branco;indoor_dia;conv;Ciro;54.jpg
2;alicate;a;branco;indoor_dia;grad;Ciro;55.jpg
2;alicate;a;branco;indoor_dia;log;Ciro;56.jpg
2;alicate;a;branco;indoor_dia;exp;Ciro;57.jpg
2;alicate;a;branco;indoor_dia;conv;Ciro;58.jpg
3;alicate;a;branco;indoor_dia;grad;Ciro;59.jpg
3;alicate;a;branco;indoor_dia;log;Ciro;60.jpg
3;alicate;a;branco;indoor_dia;exp;Ciro;61.jpg
3;alicate;a;branco;indoor_dia;conv;Ciro;62.jpg
1;chave;a;branco;indoor_dia;grad;Ciro;63.jpg
1;chave;a;branco;indoor_dia;log;Ciro;64.jpg
1;chave;a;branco;indoor_dia;exp;Ciro;65.jpg
1;chave;a;branco;indoor_dia;conv;Ciro;66.jpg
2;chave;a;branco;indoor_dia;grad;Ciro;67.jpg
2;chave;a;branco;indoor_dia;log;Ciro;68.jpg
2;chave;a;branco;indoor_dia;exp;Ciro;69.jpg
2;chave;a;branco;indoor_dia;conv;Ciro;70.jpg
