sequencia;objeto;tipo_obj;fundo;iluminacao;transformacao;responsavel;arquivo
2;copo;a;branco;indoor_dia;cinza;Josilton;21.jpg
3;copo;a;branco;indoor_dia;cinza;Josilton;22.jpg
1;caneca;a;branco;indoor_dia;cinza;Josilton;23.jpg
2;caneca;a;branco;indoor_dia;cinza;Josilton;24.jpg
3;caneca;a;branco;indoor_dia;cinza;Josilton;25.jpg
1;alicate;a;branco;indoor_dia;cinza;Ciro;26.jpg
2;alicate;a;branco;indoor_dia;cinza;Ciro;27.jpg
3;alicate;a;branco;indoor_dia;cinza;Ciro;28.jpg
1;chave;a;branco;indoor_dia;cinza;Ciro;29.jpg
2;chave;a;branco;indoor_dia;cinza;Ciro;30.jpg
