sequencia;objeto;tipo_obj;fundo;iluminacao;transformacao;responsavel;arquivo
3;livro;b;branco;indoor noite;seg manual;Ciro;1677.jpg
2;caneta;b;branco;indoor noite;seg manual;Ciro;1673.jpg
1;livro;a;branco;indoor noite;seg manual;Ciro;1645.jpg
3;livro;b;branco;outdoor noite;seg manual;Ciro;1947.jpg
3;chave;c;branco;indoor dia;seg manual;Ciro;1161.jpg
1;livro;a;branco;outdoor dia;seg manual;Ciro;1375.jpg
1;livro;b;branco;outdoor dia;seg manual;Ciro;1405.jpg
2;chave;b;branco;indoor dia;seg manual;Ciro;1130.jpg
3;chave;b;branco;indoor noite;seg manual;Ciro;1671.jpg
2;caneta;c;branco;indoor noite;seg manual;Ciro;1703.jpg
2;alicate;b;branco;indoor noite;seg manual;Ciro;1667.jpg
3;alicate;b;branco;indoor noite;seg manual;Ciro;1668.jpg
3;livro;a;branco;indoor dia;seg manual;Ciro;1107.jpg
1;chave;b;branco;indoor noite;seg manual;Ciro;1669.jpg
2;chave;a;branco;indoor dia;seg manual;Ciro;1100.jpg
2;chave;c;branco;indoor noite;seg manual;Ciro;1700.jpg
3;caderno;a;branco;indoor dia;seg manual;Ciro;1110.jpg
1;alicate;c;branco;indoor noite;seg manual;Ciro;1696.jpg
3;caderno;b;branco;indoor dia;seg manual;Ciro;1140.jpg
1;chave;c;branco;indoor noite;seg manual;Ciro;1699.jpg
3;caneta;b;branco;outdoor noite;seg manual;Ciro;1944.jpg
1;caderno;c;branco;indoor dia;seg manual;Ciro;1168.jpg
1;caneta;a;branco;outdoor dia;seg manual;Ciro;1372.jpg
1;livro;c;branco;outdoor noite;seg manual;Ciro;1975.jpg
3;caneta;a;branco;outdoor dia;seg manual;Ciro;1374.jpg
2;livro;c;branco;indoor dia;seg manual;Ciro;1166.jpg
1;chave;a;branco;outdoor dia;seg manual;Ciro;1369.jpg
1;caneta;b;branco;outdoor dia;seg manual;Ciro;1402.jpg
1;livro;b;branco;outdoor noite;seg manual;Ciro;1945.jpg
2;alicate;c;branco;indoor dia;seg manual;Ciro;1157.jpg
2;alicate;b;branco;indoor dia;seg manual;Ciro;1127.jpg
2;chave;a;branco;indoor noite;seg manual;Ciro;1640.jpg
3;livro;a;branco;outdoor dia;seg manual;Ciro;1377.jpg
3;chave;a;branco;indoor noite;seg manual;Ciro;1641.jpg
3;chave;a;branco;indoor dia;seg manual;Ciro;1101.jpg
3;alicate;c;branco;outdoor noite;seg manual;Ciro;1968.jpg
1;chave;b;branco;outdoor noite;seg manual;Ciro;1939.jpg
3;alicate;a;branco;outdoor dia;seg manual;Ciro;1368.jpg
1;livro;c;branco;outdoor dia;seg manual;Ciro;1435.jpg
1;caderno;b;branco;indoor noite;seg manual;Ciro;1678.jpg
2;caderno;c;branco;outdoor noite;seg manual;Ciro;1979.jpg
1;alicate;a;branco;indoor noite;seg manual;Ciro;1636.jpg
2;caderno;a;branco;outdoor dia;seg manual;Ciro;1379.jpg
2;caderno;b;branco;indoor noite;seg manual;Ciro;1679.jpg
1;livro;c;branco;indoor dia;seg manual;Ciro;1165.jpg
2;chave;b;branco;outdoor noite;seg manual;Ciro;1940.jpg
3;caderno;c;branco;indoor dia;seg manual;Ciro;1170.jpg
1;caneta;c;branco;outdoor dia;seg manual;Ciro;1432.jpg
1;chave;c;branco;indoor dia;seg manual;Ciro;1159.jpg
1;chave;b;branco;indoor dia;seg manual;Ciro;1129.jpg
3;caderno;a;branco;outdoor dia;seg manual;Ciro;1380.jpg
2;caneta;c;branco;outdoor noite;seg manual;Ciro;1973.jpg
1;caderno;c;branco;indoor noite;seg manual;Ciro;1708.jpg
1;alicate;b;branco;outdoor noite;seg manual;Ciro;1936.jpg
1;caderno;a;branco;indoor dia;seg manual;Ciro;1108.jpg
1;chave;a;branco;indoor noite;seg manual;Ciro;1639.jpg
2;caderno;b;branco;outdoor dia;seg manual;Ciro;1409.jpg
2;caderno;b;branco;indoor dia;seg manual;Ciro;1139.jpg
3;caderno;c;branco;outdoor dia;seg manual;Ciro;1440.jpg
3;caderno;b;branco;outdoor noite;seg manual;Ciro;1950.jpg
2;livro;c;branco;indoor noite;seg manual;Ciro;1706.jpg
2;caneta;c;branco;outdoor dia;seg manual;Ciro;1433.jpg
3;alicate;b;branco;indoor dia;seg manual;Ciro;1128.jpg
2;caderno;a;branco;outdoor noite;seg manual;Ciro;1919.jpg
2;alicate;a;branco;indoor noite;seg manual;Ciro;1637.jpg
1;livro;b;branco;indoor noite;seg manual;Ciro;1675.jpg
2;caderno;a;branco;indoor dia;seg manual;Ciro;1109.jpg
2;alicate;c;branco;outdoor noite;seg manual;Ciro;1967.jpg
1;caneta;c;branco;indoor noite;seg manual;Ciro;1702.jpg
1;alicate;a;branco;outdoor dia;seg manual;Ciro;1366.jpg
2;livro;c;branco;outdoor dia;seg manual;Ciro;1436.jpg
1;caneta;c;branco;indoor dia;seg manual;Ciro;1162.jpg
3;caneta;a;branco;outdoor noite;seg manual;Ciro;1914.jpg
1;chave;c;branco;outdoor noite;seg manual;Ciro;1969.jpg
2;alicate;a;branco;outdoor noite;seg manual;Ciro;1907.jpg
1;chave;c;branco;outdoor dia;seg manual;Ciro;1429.jpg
1;caderno;c;branco;outdoor noite;seg manual;Ciro;1978.jpg
3;caneta;c;branco;outdoor noite;seg manual;Ciro;1974.jpg
1;alicate;c;branco;outdoor dia;seg manual;Ciro;1426.jpg
1;caneta;b;branco;indoor dia;seg manual;Ciro;1132.jpg
1;alicate;a;branco;outdoor noite;seg manual;Ciro;1906.jpg
