sequencia;objeto;tipo_obj;fundo;iluminacao;transformacao;responsavel;arquivo
1;garfo;a;branco;indoor dia;normalized cinza;Josilton;1081.jpg
2;garfo;a;branco;indoor dia;normalized cinza;Josilton;1082.jpg
3;garfo;a;branco;indoor dia;normalized cinza;Josilton;1083.jpg
1;faca;a;branco;indoor dia;normalized cinza;Josilton;1084.jpg
2;faca;a;branco;indoor dia;normalized cinza;Josilton;1085.jpg
3;faca;a;branco;indoor dia;normalized cinza;Josilton;1086.jpg
1;colher;a;branco;indoor dia;normalized cinza;Josilton;1087.jpg
2;colher;a;branco;indoor dia;normalized cinza;Josilton;1088.jpg
3;colher;a;branco;indoor dia;normalized cinza;Josilton;1089.jpg
1;copo;a;branco;indoor dia;normalized cinza;Josilton;1090.jpg
2;copo;a;branco;indoor dia;normalized cinza;Josilton;1091.jpg
3;copo;a;branco;indoor dia;normalized cinza;Josilton;1092.jpg
1;caneca;a;branco;indoor dia;normalized cinza;Josilton;1093.jpg
2;caneca;a;branco;indoor dia;normalized cinza;Josilton;1094.jpg
3;caneca;a;branco;indoor dia;normalized cinza;Josilton;1095.jpg
1;alicate;a;branco;indoor dia;normalized cinza;Ciro;1096.jpg
2;alicate;a;branco;indoor dia;normalized cinza;Ciro;1097.jpg
3;alicate;a;branco;indoor dia;normalized cinza;Ciro;1098.jpg
1;chave;a;branco;indoor dia;normalized cinza;Ciro;1099.jpg
2;chave;a;branco;indoor dia;normalized cinza;Ciro;1100.jpg
3;chave;a;branco;indoor dia;normalized cinza;Ciro;1101.jpg
1;caneta;a;branco;indoor dia;normalized cinza;Ciro;1102.jpg
2;caneta;a;branco;indoor dia;normalized cinza;Ciro;1103.jpg
3;caneta;a;branco;indoor dia;normalized cinza;Ciro;1104.jpg
1;livro;a;branco;indoor dia;normalized cinza;Ciro;1105.jpg
2;livro;a;branco;indoor dia;normalized cinza;Ciro;1106.jpg
3;livro;a;branco;indoor dia;normalized cinza;Ciro;1107.jpg
1;caderno;a;branco;indoor dia;normalized cinza;Ciro;1108.jpg
2;caderno;a;branco;indoor dia;normalized cinza;Ciro;1109.jpg
3;caderno;a;branco;indoor dia;normalized cinza;Ciro;1110.jpg
1;garfo;b;branco;indoor dia;normalized cinza;Josilton;1111.jpg
2;garfo;b;branco;indoor dia;normalized cinza;Josilton;1112.jpg
3;garfo;b;branco;indoor dia;normalized cinza;Josilton;1113.jpg
1;faca;b;branco;indoor dia;normalized cinza;Josilton;1114.jpg
2;faca;b;branco;indoor dia;normalized cinza;Josilton;1115.jpg
3;faca;b;branco;indoor dia;normalized cinza;Josilton;1116.jpg
1;colher;b;branco;indoor dia;normalized cinza;Josilton;1117.jpg
2;colher;b;branco;indoor dia;normalized cinza;Josilton;1118.jpg
3;colher;b;branco;indoor dia;normalized cinza;Josilton;1119.jpg
1;copo;b;branco;indoor dia;normalized cinza;Josilton;1120.jpg
2;copo;b;branco;indoor dia;normalized cinza;Josilton;1121.jpg
3;copo;b;branco;indoor dia;normalized cinza;Josilton;1122.jpg
1;caneca;b;branco;indoor dia;normalized cinza;Josilton;1123.jpg
2;caneca;b;branco;indoor dia;normalized cinza;Josilton;1124.jpg
3;caneca;b;branco;indoor dia;normalized cinza;Josilton;1125.jpg
1;alicate;b;branco;indoor dia;normalized cinza;Ciro;1126.jpg
2;alicate;b;branco;indoor dia;normalized cinza;Ciro;1127.jpg
3;alicate;b;branco;indoor dia;normalized cinza;Ciro;1128.jpg
1;chave;b;branco;indoor dia;normalized cinza;Ciro;1129.jpg
2;chave;b;branco;indoor dia;normalized cinza;Ciro;1130.jpg
3;chave;b;branco;indoor dia;normalized cinza;Ciro;1131.jpg
1;caneta;b;branco;indoor dia;normalized cinza;Ciro;1132.jpg
2;caneta;b;branco;indoor dia;normalized cinza;Ciro;1133.jpg
3;caneta;b;branco;indoor dia;normalized cinza;Ciro;1134.jpg
1;livro;b;branco;indoor dia;normalized cinza;Ciro;1135.jpg
2;livro;b;branco;indoor dia;normalized cinza;Ciro;1136.jpg
3;livro;b;branco;indoor dia;normalized cinza;Ciro;1137.jpg
1;caderno;b;branco;indoor dia;normalized cinza;Ciro;1138.jpg
2;caderno;b;branco;indoor dia;normalized cinza;Ciro;1139.jpg
3;caderno;b;branco;indoor dia;normalized cinza;Ciro;1140.jpg
1;garfo;c;branco;indoor dia;normalized cinza;Josilton;1141.jpg
2;garfo;c;branco;indoor dia;normalized cinza;Josilton;1142.jpg
3;garfo;c;branco;indoor dia;normalized cinza;Josilton;1143.jpg
1;faca;c;branco;indoor dia;normalized cinza;Josilton;1144.jpg
2;faca;c;branco;indoor dia;normalized cinza;Josilton;1145.jpg
3;faca;c;branco;indoor dia;normalized cinza;Josilton;1146.jpg
1;colher;c;branco;indoor dia;normalized cinza;Josilton;1147.jpg
2;colher;c;branco;indoor dia;normalized cinza;Josilton;1148.jpg
3;colher;c;branco;indoor dia;normalized cinza;Josilton;1149.jpg
1;copo;c;branco;indoor dia;normalized cinza;Josilton;1150.jpg
2;copo;c;branco;indoor dia;normalized cinza;Josilton;1151.jpg
3;copo;c;branco;indoor dia;normalized cinza;Josilton;1152.jpg
1;caneca;c;branco;indoor dia;normalized cinza;Josilton;1153.jpg
2;caneca;c;branco;indoor dia;normalized cinza;Josilton;1154.jpg
3;caneca;c;branco;indoor dia;normalized cinza;Josilton;1155.jpg
1;alicate;c;branco;indoor dia;normalized cinza;Ciro;1156.jpg
2;alicate;c;branco;indoor dia;normalized cinza;Ciro;1157.jpg
3;alicate;c;branco;indoor dia;normalized cinza;Ciro;1158.jpg
1;chave;c;branco;indoor dia;normalized cinza;Ciro;1159.jpg
2;chave;c;branco;indoor dia;normalized cinza;Ciro;1160.jpg
3;chave;c;branco;indoor dia;normalized cinza;Ciro;1161.jpg
1;caneta;c;branco;indoor dia;normalized cinza;Ciro;1162.jpg
2;caneta;c;branco;indoor dia;normalized cinza;Ciro;1163.jpg
3;caneta;c;branco;indoor dia;normalized cinza;Ciro;1164.jpg
1;livro;c;branco;indoor dia;normalized cinza;Ciro;1165.jpg
2;livro;c;branco;indoor dia;normalized cinza;Ciro;1166.jpg
3;livro;c;branco;indoor dia;normalized cinza;Ciro;1167.jpg
1;caderno;c;branco;indoor dia;normalized cinza;Ciro;1168.jpg
2;caderno;c;branco;indoor dia;normalized cinza;Ciro;1169.jpg
3;caderno;c;branco;indoor dia;normalized cinza;Ciro;1170.jpg
1;garfo;a;mickey;indoor dia;normalized cinza;Josilton;1171.jpg
2;garfo;a;mickey;indoor dia;normalized cinza;Josilton;1172.jpg
3;garfo;a;mickey;indoor dia;normalized cinza;Josilton;1173.jpg
1;faca;a;mickey;indoor dia;normalized cinza;Josilton;1174.jpg
2;faca;a;mickey;indoor dia;normalized cinza;Josilton;1175.jpg
3;faca;a;mickey;indoor dia;normalized cinza;Josilton;1176.jpg
1;colher;a;mickey;indoor dia;normalized cinza;Josilton;1177.jpg
2;colher;a;mickey;indoor dia;normalized cinza;Josilton;1178.jpg
3;colher;a;mickey;indoor dia;normalized cinza;Josilton;1179.jpg
1;copo;a;mickey;indoor dia;normalized cinza;Josilton;1180.jpg
2;copo;a;mickey;indoor dia;normalized cinza;Josilton;1181.jpg
3;copo;a;mickey;indoor dia;normalized cinza;Josilton;1182.jpg
1;caneca;a;mickey;indoor dia;normalized cinza;Josilton;1183.jpg
2;caneca;a;mickey;indoor dia;normalized cinza;Josilton;1184.jpg
3;caneca;a;mickey;indoor dia;normalized cinza;Josilton;1185.jpg
1;alicate;a;mickey;indoor dia;normalized cinza;Ciro;1186.jpg
2;alicate;a;mickey;indoor dia;normalized cinza;Ciro;1187.jpg
3;alicate;a;mickey;indoor dia;normalized cinza;Ciro;1188.jpg
1;chave;a;mickey;indoor dia;normalized cinza;Ciro;1189.jpg
2;chave;a;mickey;indoor dia;normalized cinza;Ciro;1190.jpg
3;chave;a;mickey;indoor dia;normalized cinza;Ciro;1191.jpg
1;caneta;a;mickey;indoor dia;normalized cinza;Ciro;1192.jpg
2;caneta;a;mickey;indoor dia;normalized cinza;Ciro;1193.jpg
3;caneta;a;mickey;indoor dia;normalized cinza;Ciro;1194.jpg
1;livro;a;mickey;indoor dia;normalized cinza;Ciro;1195.jpg
2;livro;a;mickey;indoor dia;normalized cinza;Ciro;1196.jpg
3;livro;a;mickey;indoor dia;normalized cinza;Ciro;1197.jpg
1;caderno;a;mickey;indoor dia;normalized cinza;Ciro;1198.jpg
2;caderno;a;mickey;indoor dia;normalized cinza;Ciro;1199.jpg
3;caderno;a;mickey;indoor dia;normalized cinza;Ciro;1200.jpg
1;garfo;b;mickey;indoor dia;normalized cinza;Josilton;1201.jpg
2;garfo;b;mickey;indoor dia;normalized cinza;Josilton;1202.jpg
3;garfo;b;mickey;indoor dia;normalized cinza;Josilton;1203.jpg
1;faca;b;mickey;indoor dia;normalized cinza;Josilton;1204.jpg
2;faca;b;mickey;indoor dia;normalized cinza;Josilton;1205.jpg
3;faca;b;mickey;indoor dia;normalized cinza;Josilton;1206.jpg
1;colher;b;mickey;indoor dia;normalized cinza;Josilton;1207.jpg
2;colher;b;mickey;indoor dia;normalized cinza;Josilton;1208.jpg
3;colher;b;mickey;indoor dia;normalized cinza;Josilton;1209.jpg
1;copo;b;mickey;indoor dia;normalized cinza;Josilton;1210.jpg
2;copo;b;mickey;indoor dia;normalized cinza;Josilton;1211.jpg
3;copo;b;mickey;indoor dia;normalized cinza;Josilton;1212.jpg
1;caneca;b;mickey;indoor dia;normalized cinza;Josilton;1213.jpg
2;caneca;b;mickey;indoor dia;normalized cinza;Josilton;1214.jpg
3;caneca;b;mickey;indoor dia;normalized cinza;Josilton;1215.jpg
1;alicate;b;mickey;indoor dia;normalized cinza;Ciro;1216.jpg
2;alicate;b;mickey;indoor dia;normalized cinza;Ciro;1217.jpg
3;alicate;b;mickey;indoor dia;normalized cinza;Ciro;1218.jpg
1;chave;b;mickey;indoor dia;normalized cinza;Ciro;1219.jpg
2;chave;b;mickey;indoor dia;normalized cinza;Ciro;1220.jpg
3;chave;b;mickey;indoor dia;normalized cinza;Ciro;1221.jpg
1;caneta;b;mickey;indoor dia;normalized cinza;Ciro;1222.jpg
2;caneta;b;mickey;indoor dia;normalized cinza;Ciro;1223.jpg
3;caneta;b;mickey;indoor dia;normalized cinza;Ciro;1224.jpg
1;livro;b;mickey;indoor dia;normalized cinza;Ciro;1225.jpg
2;livro;b;mickey;indoor dia;normalized cinza;Ciro;1226.jpg
3;livro;b;mickey;indoor dia;normalized cinza;Ciro;1227.jpg
1;caderno;b;mickey;indoor dia;normalized cinza;Ciro;1228.jpg
2;caderno;b;mickey;indoor dia;normalized cinza;Ciro;1229.jpg
3;caderno;b;mickey;indoor dia;normalized cinza;Ciro;1230.jpg
1;garfo;c;mickey;indoor dia;normalized cinza;Josilton;1231.jpg
2;garfo;c;mickey;indoor dia;normalized cinza;Josilton;1232.jpg
3;garfo;c;mickey;indoor dia;normalized cinza;Josilton;1233.jpg
1;faca;c;mickey;indoor dia;normalized cinza;Josilton;1234.jpg
2;faca;c;mickey;indoor dia;normalized cinza;Josilton;1235.jpg
3;faca;c;mickey;indoor dia;normalized cinza;Josilton;1236.jpg
1;colher;c;mickey;indoor dia;normalized cinza;Josilton;1237.jpg
2;colher;c;mickey;indoor dia;normalized cinza;Josilton;1238.jpg
3;colher;c;mickey;indoor dia;normalized cinza;Josilton;1239.jpg
1;copo;c;mickey;indoor dia;normalized cinza;Josilton;1240.jpg
2;copo;c;mickey;indoor dia;normalized cinza;Josilton;1241.jpg
3;copo;c;mickey;indoor dia;normalized cinza;Josilton;1242.jpg
1;caneca;c;mickey;indoor dia;normalized cinza;Josilton;1243.jpg
2;caneca;c;mickey;indoor dia;normalized cinza;Josilton;1244.jpg
3;caneca;c;mickey;indoor dia;normalized cinza;Josilton;1245.jpg
1;alicate;c;mickey;indoor dia;normalized cinza;Ciro;1246.jpg
2;alicate;c;mickey;indoor dia;normalized cinza;Ciro;1247.jpg
3;alicate;c;mickey;indoor dia;normalized cinza;Ciro;1248.jpg
1;chave;c;mickey;indoor dia;normalized cinza;Ciro;1249.jpg
2;chave;c;mickey;indoor dia;normalized cinza;Ciro;1250.jpg
3;chave;c;mickey;indoor dia;normalized cinza;Ciro;1251.jpg
1;caneta;c;mickey;indoor dia;normalized cinza;Ciro;1252.jpg
2;caneta;c;mickey;indoor dia;normalized cinza;Ciro;1253.jpg
3;caneta;c;mickey;indoor dia;normalized cinza;Ciro;1254.jpg
1;livro;c;mickey;indoor dia;normalized cinza;Ciro;1255.jpg
2;livro;c;mickey;indoor dia;normalized cinza;Ciro;1256.jpg
3;livro;c;mickey;indoor dia;normalized cinza;Ciro;1257.jpg
1;caderno;c;mickey;indoor dia;normalized cinza;Ciro;1258.jpg
2;caderno;c;mickey;indoor dia;normalized cinza;Ciro;1259.jpg
3;caderno;c;mickey;indoor dia;normalized cinza;Ciro;1260.jpg
1;garfo;a;xadrez;indoor dia;normalized cinza;Josilton;1261.jpg
2;garfo;a;xadrez;indoor dia;normalized cinza;Josilton;1262.jpg
3;garfo;a;xadrez;indoor dia;normalized cinza;Josilton;1263.jpg
1;faca;a;xadrez;indoor dia;normalized cinza;Josilton;1264.jpg
2;faca;a;xadrez;indoor dia;normalized cinza;Josilton;1265.jpg
3;faca;a;xadrez;indoor dia;normalized cinza;Josilton;1266.jpg
1;colher;a;xadrez;indoor dia;normalized cinza;Josilton;1267.jpg
2;colher;a;xadrez;indoor dia;normalized cinza;Josilton;1268.jpg
3;colher;a;xadrez;indoor dia;normalized cinza;Josilton;1269.jpg
1;copo;a;xadrez;indoor dia;normalized cinza;Josilton;1270.jpg
2;copo;a;xadrez;indoor dia;normalized cinza;Josilton;1271.jpg
3;copo;a;xadrez;indoor dia;normalized cinza;Josilton;1272.jpg
1;caneca;a;xadrez;indoor dia;normalized cinza;Josilton;1273.jpg
2;caneca;a;xadrez;indoor dia;normalized cinza;Josilton;1274.jpg
3;caneca;a;xadrez;indoor dia;normalized cinza;Josilton;1275.jpg
1;alicate;a;xadrez;indoor dia;normalized cinza;Ciro;1276.jpg
2;alicate;a;xadrez;indoor dia;normalized cinza;Ciro;1277.jpg
3;alicate;a;xadrez;indoor dia;normalized cinza;Ciro;1278.jpg
1;chave;a;xadrez;indoor dia;normalized cinza;Ciro;1279.jpg
2;chave;a;xadrez;indoor dia;normalized cinza;Ciro;1280.jpg
3;chave;a;xadrez;indoor dia;normalized cinza;Ciro;1281.jpg
1;caneta;a;xadrez;indoor dia;normalized cinza;Ciro;1282.jpg
2;caneta;a;xadrez;indoor dia;normalized cinza;Ciro;1283.jpg
3;caneta;a;xadrez;indoor dia;normalized cinza;Ciro;1284.jpg
1;livro;a;xadrez;indoor dia;normalized cinza;Ciro;1285.jpg
2;livro;a;xadrez;indoor dia;normalized cinza;Ciro;1286.jpg
3;livro;a;xadrez;indoor dia;normalized cinza;Ciro;1287.jpg
1;caderno;a;xadrez;indoor dia;normalized cinza;Ciro;1288.jpg
2;caderno;a;xadrez;indoor dia;normalized cinza;Ciro;1289.jpg
3;caderno;a;xadrez;indoor dia;normalized cinza;Ciro;1290.jpg
1;garfo;b;xadrez;indoor dia;normalized cinza;Josilton;1291.jpg
2;garfo;b;xadrez;indoor dia;normalized cinza;Josilton;1292.jpg
3;garfo;b;xadrez;indoor dia;normalized cinza;Josilton;1293.jpg
