sequencia;objeto;tipo_obj;fundo;iluminacao;transformacao;responsavel;arquivo
1;alicate;b;branco;outdoor noite;seg manual;Ciro;1936.jpg
2;alicate;c;branco;outdoor noite;seg manual;Ciro;1967.jpg
2;alicate;a;branco;outdoor noite;seg manual;Ciro;1907.jpg
1;alicate;b;branco;indoor dia;seg manual;Ciro;1126.jpg
2;alicate;a;branco;indoor noite;seg manual;Ciro;1637.jpg
3;alicate;c;branco;outdoor dia;seg manual;Ciro;1428.jpg
1;alicate;b;branco;indoor noite;seg manual;Ciro;1666.jpg
3;alicate;b;branco;indoor noite;seg manual;Ciro;1668.jpg
3;alicate;a;branco;outdoor noite;seg manual;Ciro;1908.jpg
3;alicate;c;branco;indoor noite;seg manual;Ciro;1698.jpg
1;alicate;a;branco;outdoor noite;seg manual;Ciro;1906.jpg
1;alicate;c;branco;outdoor noite;seg manual;Ciro;1966.jpg
1;alicate;c;branco;indoor noite;seg manual;Ciro;1696.jpg
2;alicate;c;branco;indoor noite;seg manual;Ciro;1697.jpg
2;alicate;b;branco;indoor dia;seg manual;Ciro;1127.jpg
3;alicate;a;branco;indoor dia;seg manual;Ciro;1098.jpg
1;chave;b;branco;outdoor noite;seg manual;Ciro;1939.jpg
2;chave;c;branco;outdoor noite;seg manual;Ciro;1970.jpg
2;chave;a;branco;outdoor noite;seg manual;Ciro;1910.jpg
1;chave;b;branco;indoor dia;seg manual;Ciro;1129.jpg
2;chave;a;branco;indoor noite;seg manual;Ciro;1640.jpg
3;chave;c;branco;outdoor dia;seg manual;Ciro;1431.jpg
1;chave;b;branco;indoor noite;seg manual;Ciro;1669.jpg
3;chave;b;branco;indoor noite;seg manual;Ciro;1671.jpg
3;chave;a;branco;outdoor noite;seg manual;Ciro;1911.jpg
3;chave;c;branco;indoor noite;seg manual;Ciro;1701.jpg
1;chave;a;branco;outdoor noite;seg manual;Ciro;1909.jpg
1;chave;c;branco;outdoor noite;seg manual;Ciro;1969.jpg
1;chave;c;branco;indoor noite;seg manual;Ciro;1699.jpg
2;chave;c;branco;indoor noite;seg manual;Ciro;1700.jpg
2;chave;b;branco;indoor dia;seg manual;Ciro;1130.jpg
3;chave;a;branco;indoor dia;seg manual;Ciro;1101.jpg
1;caneta;b;branco;outdoor noite;seg manual;Ciro;1942.jpg
2;caneta;c;branco;outdoor noite;seg manual;Ciro;1973.jpg
2;caneta;a;branco;outdoor noite;seg manual;Ciro;1913.jpg
1;caneta;b;branco;indoor dia;seg manual;Ciro;1132.jpg
2;caneta;a;branco;indoor noite;seg manual;Ciro;1643.jpg
3;caneta;c;branco;outdoor dia;seg manual;Ciro;1434.jpg
1;caneta;b;branco;indoor noite;seg manual;Ciro;1672.jpg
3;caneta;b;branco;indoor noite;seg manual;Ciro;1674.jpg
3;caneta;a;branco;outdoor noite;seg manual;Ciro;1914.jpg
3;caneta;c;branco;indoor noite;seg manual;Ciro;1704.jpg
1;caneta;a;branco;outdoor noite;seg manual;Ciro;1912.jpg
1;caneta;c;branco;outdoor noite;seg manual;Ciro;1972.jpg
1;caneta;c;branco;indoor noite;seg manual;Ciro;1702.jpg
2;caneta;c;branco;indoor noite;seg manual;Ciro;1703.jpg
2;caneta;b;branco;indoor dia;seg manual;Ciro;1133.jpg
3;caneta;a;branco;indoor dia;seg manual;Ciro;1104.jpg
1;livro;b;branco;outdoor noite;seg manual;Ciro;1945.jpg
2;livro;c;branco;outdoor noite;seg manual;Ciro;1976.jpg
2;livro;a;branco;outdoor noite;seg manual;Ciro;1916.jpg
1;livro;b;branco;indoor dia;seg manual;Ciro;1135.jpg
2;livro;a;branco;indoor noite;seg manual;Ciro;1646.jpg
3;livro;c;branco;outdoor dia;seg manual;Ciro;1437.jpg
1;livro;b;branco;indoor noite;seg manual;Ciro;1675.jpg
3;livro;b;branco;indoor noite;seg manual;Ciro;1677.jpg
3;livro;a;branco;outdoor noite;seg manual;Ciro;1917.jpg
3;livro;c;branco;indoor noite;seg manual;Ciro;1707.jpg
1;livro;a;branco;outdoor noite;seg manual;Ciro;1915.jpg
1;livro;c;branco;outdoor noite;seg manual;Ciro;1975.jpg
1;livro;c;branco;indoor noite;seg manual;Ciro;1705.jpg
2;livro;c;branco;indoor noite;seg manual;Ciro;1706.jpg
2;livro;b;branco;indoor dia;seg manual;Ciro;1136.jpg
3;livro;a;branco;indoor dia;seg manual;Ciro;1107.jpg
1;caderno;b;branco;outdoor noite;seg manual;Ciro;1948.jpg
2;caderno;c;branco;outdoor noite;seg manual;Ciro;1979.jpg
2;caderno;a;branco;outdoor noite;seg manual;Ciro;1919.jpg
1;caderno;b;branco;indoor dia;seg manual;Ciro;1138.jpg
2;caderno;a;branco;indoor noite;seg manual;Ciro;1649.jpg
3;caderno;c;branco;outdoor dia;seg manual;Ciro;1440.jpg
1;caderno;b;branco;indoor noite;seg manual;Ciro;1678.jpg
3;caderno;b;branco;indoor noite;seg manual;Ciro;1680.jpg
3;caderno;a;branco;outdoor noite;seg manual;Ciro;1920.jpg
3;caderno;c;branco;indoor noite;seg manual;Ciro;1710.jpg
1;caderno;a;branco;outdoor noite;seg manual;Ciro;1918.jpg
1;caderno;c;branco;outdoor noite;seg manual;Ciro;1978.jpg
1;caderno;c;branco;indoor noite;seg manual;Ciro;1708.jpg
2;caderno;c;branco;indoor noite;seg manual;Ciro;1709.jpg
2;caderno;b;branco;indoor dia;seg manual;Ciro;1139.jpg
3;caderno;a;branco;indoor dia;seg manual;Ciro;1110.jpg
