sequencia;objeto;tipo_obj;fundo;iluminacao;transformacao;responsavel;arquivo
1;garfo;b;branco;outdoor noite;seg manual;Josilton;1921.jpg
2;garfo;c;branco;outdoor noite;seg manual;Josilton;1952.jpg
2;garfo;a;branco;outdoor noite;seg manual;Josilton;1892.jpg
1;garfo;b;branco;indoor dia;seg manual;Josilton;1111.jpg
2;garfo;a;branco;indoor noite;seg manual;Josilton;1622.jpg
3;garfo;c;branco;outdoor dia;seg manual;Josilton;1413.jpg
1;garfo;b;branco;indoor noite;seg manual;Josilton;1651.jpg
3;garfo;b;branco;indoor noite;seg manual;Josilton;1653.jpg
3;garfo;a;branco;outdoor noite;seg manual;Josilton;1893.jpg
3;garfo;c;branco;indoor noite;seg manual;Josilton;1683.jpg
1;garfo;a;branco;outdoor noite;seg manual;Josilton;1891.jpg
1;garfo;c;branco;outdoor noite;seg manual;Josilton;1951.jpg
1;garfo;c;branco;indoor noite;seg manual;Josilton;1681.jpg
2;garfo;c;branco;indoor noite;seg manual;Josilton;1682.jpg
2;garfo;b;branco;indoor dia;seg manual;Josilton;1112.jpg
3;garfo;a;branco;indoor dia;seg manual;Josilton;1083.jpg
1;faca;b;branco;outdoor noite;seg manual;Josilton;1924.jpg
2;faca;c;branco;outdoor noite;seg manual;Josilton;1955.jpg
2;faca;a;branco;outdoor noite;seg manual;Josilton;1895.jpg
1;faca;b;branco;indoor dia;seg manual;Josilton;1114.jpg
2;faca;a;branco;indoor noite;seg manual;Josilton;1625.jpg
3;faca;c;branco;outdoor dia;seg manual;Josilton;1416.jpg
1;faca;b;branco;indoor noite;seg manual;Josilton;1654.jpg
3;faca;b;branco;indoor noite;seg manual;Josilton;1656.jpg
3;faca;a;branco;outdoor noite;seg manual;Josilton;1896.jpg
3;faca;c;branco;indoor noite;seg manual;Josilton;1686.jpg
1;faca;a;branco;outdoor noite;seg manual;Josilton;1894.jpg
1;faca;c;branco;outdoor noite;seg manual;Josilton;1954.jpg
1;faca;c;branco;indoor noite;seg manual;Josilton;1684.jpg
2;faca;c;branco;indoor noite;seg manual;Josilton;1685.jpg
2;faca;b;branco;indoor dia;seg manual;Josilton;1115.jpg
3;faca;a;branco;indoor dia;seg manual;Josilton;1086.jpg
1;colher;b;branco;outdoor noite;seg manual;Josilton;1927.jpg
2;colher;c;branco;outdoor noite;seg manual;Josilton;1958.jpg
2;colher;a;branco;outdoor noite;seg manual;Josilton;1898.jpg
1;colher;b;branco;indoor dia;seg manual;Josilton;1117.jpg
2;colher;a;branco;indoor noite;seg manual;Josilton;1628.jpg
3;colher;c;branco;outdoor dia;seg manual;Josilton;1419.jpg
1;colher;b;branco;indoor noite;seg manual;Josilton;1657.jpg
3;colher;b;branco;indoor noite;seg manual;Josilton;1659.jpg
3;colher;a;branco;outdoor noite;seg manual;Josilton;1899.jpg
3;colher;c;branco;indoor noite;seg manual;Josilton;1689.jpg
1;colher;a;branco;outdoor noite;seg manual;Josilton;1897.jpg
1;colher;c;branco;outdoor noite;seg manual;Josilton;1957.jpg
1;colher;c;branco;indoor noite;seg manual;Josilton;1687.jpg
2;colher;c;branco;indoor noite;seg manual;Josilton;1688.jpg
2;colher;b;branco;indoor dia;seg manual;Josilton;1118.jpg
3;colher;a;branco;indoor dia;seg manual;Josilton;1089.jpg
1;copo;b;branco;outdoor noite;seg manual;Josilton;1930.jpg
2;copo;c;branco;outdoor noite;seg manual;Josilton;1961.jpg
2;copo;a;branco;outdoor noite;seg manual;Josilton;1901.jpg
1;copo;b;branco;indoor dia;seg manual;Josilton;1120.jpg
2;copo;a;branco;indoor noite;seg manual;Josilton;1631.jpg
3;copo;c;branco;outdoor dia;seg manual;Josilton;1422.jpg
1;copo;b;branco;indoor noite;seg manual;Josilton;1660.jpg
3;copo;b;branco;indoor noite;seg manual;Josilton;1662.jpg
3;copo;a;branco;outdoor noite;seg manual;Josilton;1902.jpg
3;copo;c;branco;indoor noite;seg manual;Josilton;1692.jpg
1;copo;a;branco;outdoor noite;seg manual;Josilton;1900.jpg
1;copo;c;branco;outdoor noite;seg manual;Josilton;1960.jpg
1;copo;c;branco;indoor noite;seg manual;Josilton;1690.jpg
2;copo;c;branco;indoor noite;seg manual;Josilton;1691.jpg
2;copo;b;branco;indoor dia;seg manual;Josilton;1121.jpg
3;copo;a;branco;indoor dia;seg manual;Josilton;1092.jpg
1;caneca;b;branco;outdoor noite;seg manual;Josilton;1933.jpg
2;caneca;c;branco;outdoor noite;seg manual;Josilton;1964.jpg
2;caneca;a;branco;outdoor noite;seg manual;Josilton;1904.jpg
1;caneca;b;branco;indoor dia;seg manual;Josilton;1123.jpg
2;caneca;a;branco;indoor noite;seg manual;Josilton;1634.jpg
3;caneca;c;branco;outdoor dia;seg manual;Josilton;1425.jpg
1;caneca;b;branco;indoor noite;seg manual;Josilton;1663.jpg
3;caneca;b;branco;indoor noite;seg manual;Josilton;1665.jpg
3;caneca;a;branco;outdoor noite;seg manual;Josilton;1905.jpg
3;caneca;c;branco;indoor noite;seg manual;Josilton;1695.jpg
1;caneca;a;branco;outdoor noite;seg manual;Josilton;1903.jpg
1;caneca;c;branco;outdoor noite;seg manual;Josilton;1963.jpg
1;caneca;c;branco;indoor noite;seg manual;Josilton;1693.jpg
2;caneca;c;branco;indoor noite;seg manual;Josilton;1694.jpg
2;caneca;b;branco;indoor dia;seg manual;Josilton;1124.jpg
3;caneca;a;branco;indoor dia;seg manual;Josilton;1095.jpg
